"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"8SNJZTKM","journalArticle","2024","Brown, Colin; Agarwal, Anuradha; Luque, Antoni","pyCapsid: identifying dominant dynamics and quasi-rigid mechanical units in protein shells","Bioinformatics","","1367-4811","10.1093/bioinformatics/btad761","https://doi.org/10.1093/bioinformatics/btad761","pyCapsid is a Python package developed to facilitate the characterization of the dynamics and quasi-rigid mechanical units of protein shells and other protein complexes. The package was developed in response to the rapid increase of high-resolution structures, particularly capsids of viruses, requiring multiscale biophysical analyses. Given a protein shell, pyCapsid generates the collective vibrations of its amino-acid residues, identifies quasi-rigid mechanical regions associated with the disassembly of the structure, and maps the results back to the input proteins for interpretation. pyCapsid summarizes the main results in a report that includes publication-quality figures.pyCapsid’s source code is available under MIT License on GitHub. It is compatible with Python 3.8–3.10 and has been deployed in two leading Python package-management systems, PIP and Conda. Installation instructions and tutorials are available in the online documentation and in the pyCapsid’s YouTube playlist. In addition, a cloud-based implementation of pyCapsid is available as a Google Colab notebook. pyCapsid Colab does not require installation and generates the same report and outputs as the installable version. Users can post issues regarding pyCapsid in the repository’s issues section.","2024-01-01","2024-02-26 03:01:07","2024-02-26 03:01:07","2024-02-26 03:01:07","btad761","","1","40","","Bioinformatics","pyCapsid","","","","","","","","","","","","Silverchair","","","","/home/abelardoacm/Zotero/storage/YR8QAWV3/Brown et al. - 2024 - pyCapsid identifying dominant dynamics and quasi-.pdf; /home/abelardoacm/Zotero/storage/TW327U76/7479686.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5YZIDJW6","journalArticle","2023","Podgorski, Jennifer M.; Podgorski, Joshua; Abad, Lawrence; Jacobs-Sera, Deborah; Freeman, Krista G.; Brown, Colin; Hatfull, Graham; Luque, Antoni; White, Simon J.","A novel stabilization mechanism accommodating genome length variation in evolutionarily related viral capsids","bioRxiv","","","10.1101/2023.11.03.565530","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10635136/","Tailed bacteriophages are one of the most numerous and diverse group of viruses. They store their genome at quasi-crystalline densities in capsids built from multiple copies of proteins adopting the HK97-fold. The high density of the genome exerts an internal pressure, requiring a maturation process that reinforces their capsids. However, it is unclear how capsid stabilization strategies have adapted to accommodate the evolution of larger genomes in this virus group. Here we characterized a novel capsid reinforcement mechanism in two evolutionary-related actinobacteriophages that modifies the length of a stabilization protein to accommodate a larger genome while maintaining the same capsid size. We used cryo-EM to reveal that capsids contained split hexamers of HK97-fold proteins with a stabilization protein in the chasm. The observation of split hexamers in mature capsids was unprecedented, so we rationalized this result mathematically, discovering that icosahedral capsids can be formed by all split or skewed hexamers as long as their T-number is not a multiple of three. Our results suggest that analogous stabilization mechanisms can be present in other icosahedral capsids, and they provide a strategy for engineering capsids accommodating larger DNA cargoes as gene delivery systems.","2023-11-03","2024-02-26 03:01:56","2024-02-26 03:01:56","2024-02-26 03:01:56","2023.11.03.565530","","","","","bioRxiv","","","","","","","","","","","","","PubMed Central","","PMID: 37961133 PMCID: PMC10635136","","/home/abelardoacm/Zotero/storage/46IPY82I/Podgorski et al. - 2023 - A novel stabilization mechanism accommodating geno.pdf; ","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10635136/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JIVV8VF4","journalArticle","2024","Cobo-López, Sergio; Witt, Matthew; Rohwer, Forest L.; Luque, Antoni","A pragmatic approach to predict tipping points in dynamical systems","","","","","https://www.crm.cat/wp-content/uploads/2024/01/Sergio_Cobo_Lopez_Abstract.pdf","","2024","2024-02-26 03:02:22","2024-02-26 03:02:22","2024-02-26 03:02:22","","","","","","","","","","","","","","","","","","","Google Scholar","","","","/home/abelardoacm/Zotero/storage/QZ5DT3J4/Cobo-López et al. - 2024 - A pragmatic approach to predict tipping points in .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4YFHXR6A","webpage","","","Host interactions of novel Crassvirales species belonging to multiple families infecting bacterial host, Bacteroides cellulosilyticus WH2 | Microbiology Society","","","","","https://www.microbiologyresearch.org/content/journal/mgen/10.1099/mgen.0.001100","","","2024-02-26 03:02:41","2024-02-26 03:02:41","2024-02-26 03:02:41","","","","","","","","","","","","","","","","","","","","","","","/home/abelardoacm/Zotero/storage/JTPII77S/mgen.0.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RHV8MD2X","webpage","2023","","Productive viral infections in oligotrophic marine waters","","","","","https://www.researchsquare.com","Viral lysis of dominant bacterial groups is accepted as the main mechanism through which viruses impact marine microbial communities. However, the structure of virus-bacteria infection networks and the abundance of their members have yet to be empirically characterized in situ. Here, we tackled t...","2023-06-14","2024-02-26 03:04:26","2024-02-26 03:04:26","2024-02-26 03:04:26","","","","","","","","","","","","","","en","","","","","","","DOI: 10.21203/rs.3.rs-3040647/v1","","/home/abelardoacm/Zotero/storage/VVES9U9H/2023 - Productive viral infections in oligotrophic marine.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YWAW5SJG","journalArticle","2023","McKerral, Jody C.; Papudeshi, Bhavya; Inglis, Laura K.; Roach, Michael J.; Decewicz, Przemyslaw; McNair, Katelyn; Luque, Antoni; Dinsdale, Elizabeth A.; Edwards, Robert A.","The Promise and Pitfalls of Prophages","bioRxiv","","","10.1101/2023.04.20.537752","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10153245/","Phages dominate every ecosystem on the planet. While virulent phages sculpt the microbiome by killing their bacterial hosts, temperate phages provide unique growth advantages to their hosts through lysogenic conversion. Many prophages benefit their host, and prophages are responsible for genotypic and phenotypic differences that separate individual microbial strains. However, the microbes also endure a cost to maintain those phages: additional DNA to replicate and proteins to transcribe and translate. We have never quantified those benefits and costs. Here, we analysed over two and a half million prophages from over half a million bacterial genome assemblies. Analysis of the whole dataset and a representative subset of taxonomically diverse bacterial genomes demonstrated that the normalised prophage density was uniform across all bacterial genomes above 2 Mbp. We identified a constant carrying capacity of phage DNA per bacterial DNA. We estimated that each prophage provides cellular services equivalent to approximately 2.4 % of the cell’s energy or 0.9 ATP per bp per hour. We demonstrate analytical, taxonomic, geographic, and temporal disparities in identifying prophages in bacterial genomes that provide novel targets for identifying new phages. We anticipate that the benefits bacteria accrue from the presence of prophages balance the energetics involved in supporting prophages. Furthermore, our data will provide a new framework for identifying phages in environmental datasets, diverse bacterial phyla, and from different locations.","2023-04-21","2024-02-26 03:09:52","2024-02-26 03:09:52","2024-02-26 03:09:52","2023.04.20.537752","","","","","bioRxiv","","","","","","","","","","","","","PubMed Central","","PMID: 37131798 PMCID: PMC10153245","","/home/abelardoacm/Zotero/storage/NUXJQFZZ/McKerral et al. - 2023 - The Promise and Pitfalls of Prophages.pdf; ","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10153245/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z3B9I95C","journalArticle","2023","Silveira, Cynthia B.; Luque, Antoni; Haas, Andreas F.; Roach, Ty N. F.; George, Emma E.; Knowles, Ben; Little, Mark; Sullivan, Christopher J.; Varona, Natascha S.; Wegley Kelly, Linda; Brainard, Russel; Rohwer, Forest; Bailey, Barbara","Viral predation pressure on coral reefs","BMC Biology","","1741-7007","10.1186/s12915-023-01571-9","https://doi.org/10.1186/s12915-023-01571-9","Predation pressure and herbivory exert cascading effects on coral reef health and stability. However, the extent of these cascading effects can vary considerably across space and time. This variability is likely a result of the complex interactions between coral reefs’ biotic and abiotic dimensions. A major biological component that has been poorly integrated into the reefs' trophic studies is the microbial community, despite its role in coral death and bleaching susceptibility. Viruses that infect bacteria can control microbial densities and may positively affect coral health by controlling microbialization. We hypothesize that viral predation of bacteria has analogous effects to the top-down pressure of macroorganisms on the trophic structure and reef health.","2023-04-11","2024-02-26 03:10:12","2024-02-26 03:10:12","2024-02-26 03:10:12","77","","1","21","","BMC Biol","","","","","","","","en","","","","","Springer Link","","","","/home/abelardoacm/Zotero/storage/A4VZNLZC/Silveira et al. - 2023 - Viral predation pressure on coral reefs.pdf","","","Bacteriophages; Benthic cover; Coral cover; Fish biomass; Microbialization; Phase-shift","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3QZ4RYEF","preprint","2023","Cobo-López, Sergio; Witt, Matthew; Rohwer, Forest L.; Luque, Antoni","Emerging dynamic regimes and tipping points from finite empirical principles","","","","10.1101/2023.12.27.573307","https://www.biorxiv.org/content/10.1101/2023.12.27.573307v1","All dynamical systems are transient. The dynamics of our world at biogeochemical, ecological, and astronomical scales exist in a transient state because our planet, Sun, and universe are evolving toward thermodynamic equilibrium. However, predicting the tipping points associated with major dynamical shifts in these systems remains a significant challenge. Here, we introduce a new theoretical framework to predict tipping points. Our approach builds on two empirical principles: Observations occur over a finite time, and changes are perceptible when system variations are substantial relative to reference values. As a consequence, processes governing the dynamics of a system can become inactive over an observation time, and tipping points are reached when the processes switch off or on. The two principles were encoded mathematically, defining dynamic weights: contributions relative to reference values of the dynamic processes to the rate-of-change of agents in the system for a finite observational time. Operationally, processes were considered active if their weights were above a critical threshold. Tipping points were defined as reaching critical thresholds that activated or inactivated processes. This Finite Observational Dynamics Analysis Method (FODAM) method predicted that a system with n underlying dynamic processes could display 2n different dynamic regimes. However, the regimes depend on the observational time. The tipping points predicted the conditions for regime shifts and also the resilience of quasi-stable systems to perturbations. The application of FODAM was illustrated with a Lotka-Volterra predator-prey model featuring the interaction of bacteria and bacteriophage. A Colab notebook was also developed and deployed online to facilitate the application of the method to other systems. We conclude the article by discussing how our new approach bridges prior frameworks describing tipping point dynamics and critical transitions. We also outline the application of the method to empirical data to predict tipping points in complex systems.","2023-12-27","2024-02-26 03:10:52","2024-02-26 03:10:52","2024-02-26 03:10:52","","","","","","","","","","","","bioRxiv","","en","© 2023, Posted by Cold Spring Harbor Laboratory. This pre-print is available under a Creative Commons License (Attribution 4.0 International), CC BY 4.0, as described at http://creativecommons.org/licenses/by/4.0/","","","","bioRxiv","","Pages: 2023.12.27.573307 Section: New Results","","/home/abelardoacm/Zotero/storage/3979HP5I/Cobo-López et al. - 2023 - Emerging dynamic regimes and tipping points from f.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28IP4TA9","journalArticle","2022","Lee, Diana Y.; Bartels, Caitlin; McNair, Katelyn; Edwards, Robert A.; Swairjo, Manal A.; Luque, Antoni","Predicting the capsid architecture of phages from metagenomic data","Computational and Structural Biotechnology Journal","","2001-0370","10.1016/j.csbj.2021.12.032","https://www.sciencedirect.com/science/article/pii/S2001037021005419","Tailed phages are viruses that infect bacteria and are the most abundant biological entities on Earth. Their ecological, evolutionary, and biogeochemical roles in the planet stem from their genomic diversity. Known tailed phage genomes range from 10 to 735 kilobase pairs thanks to the size variability of the protective protein capsids that store them. However, the role of tailed phage capsids’ diversity in ecosystems is unclear. A fundamental gap is the difficulty of associating genomic information with viral capsids in the environment. To address this problem, here, we introduce a computational approach to predict the capsid architecture (T-number) of tailed phages using the sequence of a single gene—the major capsid protein. This approach relies on an allometric model that relates the genome length and capsid architecture of tailed phages. This allometric model was applied to isolated phage genomes to generate a library that associated major capsid proteins and putative capsid architectures. This library was used to train machine learning methods, and the most computationally scalable model investigated (random forest) was applied to human gut metagenomes. Compared to isolated phages, the analysis of gut data reveals a large abundance of mid-sized (T = 7) capsids, as expected, followed by a relatively large frequency of jumbo-like tailed phage capsids (T ≥ 25) and small capsids (T = 4) that have been under-sampled. We discussed how to increase the method’s accuracy and how to extend the approach to other viruses. The computational pipeline introduced here opens the doors to monitor the ongoing evolution and selection of viral capsids across ecosystems.","2022-01-01","2024-02-26 03:11:21","2024-02-26 03:11:21","2024-02-26 03:11:21","721-732","","","20","","Computational and Structural Biotechnology Journal","","","","","","","","","","","","","ScienceDirect","","","","/home/abelardoacm/Zotero/storage/22NUBN2T/Lee et al. - 2022 - Predicting the capsid architecture of phages from .pdf; /home/abelardoacm/Zotero/storage/JQZLVF9H/S2001037021005419.html","","","Gut microbiome; Icosahedral capsids; Machine learning; Metagenomes; Physical modeling; Physical virology; Tailed bacteriophages; Viral ecology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5RXNW7QI","journalArticle","2021","Silveira, Cynthia B.; Luque, Antoni; Rohwer, Forest","The landscape of lysogeny across microbial community density, diversity and energetics","Environmental Microbiology","","1462-2920","10.1111/1462-2920.15640","https://onlinelibrary.wiley.com/doi/abs/10.1111/1462-2920.15640","Lysogens are common at high bacterial densities, an observation that contrasts with the prevailing view of lysogeny as a low-density refugium strategy. Here, we review the mechanisms regulating lysogeny in complex communities and show that the additive effects of coinfections, diversity and host energic status yield a bimodal distribution of lysogeny as a function of microbial densities. At high cell densities (above 106 cells ml−1 or g−1) and low diversity, coinfections by two or more phages are frequent and excess energy availability stimulates inefficient metabolism. Both mechanisms favour phage integration and characterize the Piggyback-the-Winner dynamic. At low densities (below 105 cells ml−1 or g−1), starvation represses lytic genes and extends the time window for lysogenic commitment, resulting in a higher frequency of coinfections that cause integration. This pattern follows the predictions of the refugium hypothesis. At intermediary densities (between 105 and 106 cells ml−1 or g−1), encounter rates and efficient energy metabolism favour lysis. This may involve Kill-the-Winner lytic dynamics and induction. Based on these three regimes, we propose a framework wherein phage integration occurs more frequently at both ends of the host density gradient, with distinct underlying molecular mechanisms (coinfections and host metabolism) dominating at each extreme.","2021","2024-02-26 03:11:58","2024-02-26 03:11:58","2024-02-26 03:11:58","4098-4111","","8","23","","","","","","","","","","en","© 2021 Society for Applied Microbiology and John Wiley & Sons Ltd.","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/1462-2920.15640","","/home/abelardoacm/Zotero/storage/DMCJEMEQ/Silveira et al. - 2021 - The landscape of lysogeny across microbial communi.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
