DOI,Title,Journal,Publication Date,Given Name,Family Name,Affiliation
10.1093/bioinformatics/btad761,pyCapsid: identifying dominant dynamics and quasi-rigid mechanical units in protein shells,Bioinformatics,2023,Colin,Brown,"Viral Information Institute, San Diego State University , San Diego, CA 92116, United States, Department of Physics, San Diego State University , San Diego, CA 92116, United States"
10.1093/bioinformatics/btad761,pyCapsid: identifying dominant dynamics and quasi-rigid mechanical units in protein shells,Bioinformatics,2023,Anuradha,Agarwal,"Viral Information Institute, San Diego State University , San Diego, CA 92116, United States, Computational Science Research Center, San Diego State University , San Diego, CA 92116, United States"
10.1093/bioinformatics/btad761,pyCapsid: identifying dominant dynamics and quasi-rigid mechanical units in protein shells,Bioinformatics,2023,Antoni,Luque,"Viral Information Institute, San Diego State University , San Diego, CA 92116, United States, Computational Science Research Center, San Diego State University , San Diego, CA 92116, United States, Department of Mathematics and Statistics, San Diego State University , San Diego, CA 92116, United States, Department of Biology, University of Miami , Coral Gables, FL 33146, United States"
10.1186/s12915-023-01571-9,Viral predation pressure on coral reefs,BMC Biology,2023,Cynthia B.,Silveira,Not available
10.1186/s12915-023-01571-9,Viral predation pressure on coral reefs,BMC Biology,2023,Antoni,Luque,Not available
10.1186/s12915-023-01571-9,Viral predation pressure on coral reefs,BMC Biology,2023,Andreas F.,Haas,Not available
10.1186/s12915-023-01571-9,Viral predation pressure on coral reefs,BMC Biology,2023,Ty N. F.,Roach,Not available
10.1186/s12915-023-01571-9,Viral predation pressure on coral reefs,BMC Biology,2023,Emma E.,George,Not available
10.1186/s12915-023-01571-9,Viral predation pressure on coral reefs,BMC Biology,2023,Ben,Knowles,Not available
10.1186/s12915-023-01571-9,Viral predation pressure on coral reefs,BMC Biology,2023,Mark,Little,Not available
10.1186/s12915-023-01571-9,Viral predation pressure on coral reefs,BMC Biology,2023,Christopher J.,Sullivan,Not available
10.1186/s12915-023-01571-9,Viral predation pressure on coral reefs,BMC Biology,2023,Natascha S.,Varona,Not available
10.1186/s12915-023-01571-9,Viral predation pressure on coral reefs,BMC Biology,2023,Linda,Wegley Kelly,Not available
10.1186/s12915-023-01571-9,Viral predation pressure on coral reefs,BMC Biology,2023,Russel,Brainard,Not available
10.1186/s12915-023-01571-9,Viral predation pressure on coral reefs,BMC Biology,2023,Forest,Rohwer,Not available
10.1186/s12915-023-01571-9,Viral predation pressure on coral reefs,BMC Biology,2023,Barbara,Bailey,Not available
10.1111/1462-2920.15640,"The landscape of lysogeny across microbial community density, diversity and energetics",Environmental Microbiology,2021,Cynthia B.,Silveira,"Department of Biology University of Miami  1301 Memorial Drive Coral Gables FL 33143 USA, Department of Marine Biology and Ecology Rosenstiel School of Marine and Atmospheric Sciences, University of Miami  4600 Rickenbacker Causeway Miami FL 33149 USA"
10.1111/1462-2920.15640,"The landscape of lysogeny across microbial community density, diversity and energetics",Environmental Microbiology,2021,Antoni,Luque,"Viral Information Institute, San Diego State University  5500 Campanile Dr. San Diego CA 92182 USA, Department of Mathematics and Statistics San Diego State University  5500 Campanile Dr. San Diego CA 92182 USA, Computational Science Research Center, San Diego State University  5500 Campanile Dr San Diego CA 92182 USA"
10.1111/1462-2920.15640,"The landscape of lysogeny across microbial community density, diversity and energetics",Environmental Microbiology,2021,Forest,Rohwer,"Viral Information Institute, San Diego State University  5500 Campanile Dr. San Diego CA 92182 USA, Department of Biology San Diego State University  5500 Campanile Dr San Diego CA 92182 USA"
10.7717/peerj.11213,Space-filling and benthic competition on coral reefs,PeerJ,2021,Emma E.,George,"Department of Biology, San Diego State University, San Diego, CA, United States of America, Department of Botany, University of British Columbia, Vancouver, British Columbia, Canada"
10.7717/peerj.11213,Space-filling and benthic competition on coral reefs,PeerJ,2021,James A.,Mullinix,"Department of Mathematics and Statistics, San Diego State University, San Diego, CA, United States of America, Computational Science Research Center, San Diego State University, San Diego, CA, United States of America, Viral Information Institute, San Diego State University, San Diego, CA, United States of America"
10.7717/peerj.11213,Space-filling and benthic competition on coral reefs,PeerJ,2021,Fanwei,Meng,"Department of Mathematics and Statistics, San Diego State University, San Diego, CA, United States of America"
10.7717/peerj.11213,Space-filling and benthic competition on coral reefs,PeerJ,2021,Barbara A.,Bailey,"Department of Mathematics and Statistics, San Diego State University, San Diego, CA, United States of America, Viral Information Institute, San Diego State University, San Diego, CA, United States of America"
10.7717/peerj.11213,Space-filling and benthic competition on coral reefs,PeerJ,2021,Clinton,Edwards,"Scripps Institution of Oceanography, University of California, San Diego, La Jolla, CA, United States of America"
10.7717/peerj.11213,Space-filling and benthic competition on coral reefs,PeerJ,2021,Ben,Felts,"Department of Mathematics and Statistics, San Diego State University, San Diego, CA, United States of America, Viral Information Institute, San Diego State University, San Diego, CA, United States of America"
10.7717/peerj.11213,Space-filling and benthic competition on coral reefs,PeerJ,2021,Andreas F.,Haas,"NIOZ Royal Netherlands Institute for Sea Research and Utrecht University, Texel, Netherlands"
10.7717/peerj.11213,Space-filling and benthic competition on coral reefs,PeerJ,2021,Aaron C.,Hartmann,"Department of Biology, San Diego State University, San Diego, CA, United States of America, Smithsonian National Museum of Natural History, Washington, DC, United States of America, Organismic and Evolutionary Biology, Harvard University, Cambridge, MA, United States of America"
